,totale_positivi,dimessi_guariti,deceduti,note
0,221,1,7,Unkown
1,311,1,10,Unkown
2,385,3,12,Unkown
3,588,45,17,Unkown
4,821,46,21,Unkown
5,1049,50,29,Unkown
6,1577,83,34,Unkown
7,1835,149,52,Unkown
8,2263,160,79,Unkown
9,2706,276,107,Unkown
10,3296,414,148,Unkown
11,3916,523,197,Unkown
12,5061,589,233,pd-IT-0003
13,6387,622,366,Unkown
14,7985,724,463,Unkown
15,8514,1004,631,pd-IT-0005
16,10590,1045,827,nd-IT-0002
17,12839,1258,1016,Unkown
18,14955,1439,1266,Unkown
19,17750,1966,1441,Unkown
20,20603,2335,1809,Unkown
21,23073,2749,2158,nd-IT-0004;nd-IT-0006
22,26062,2941,2503,nd-IT-0009
23,28710,4025,2978,nd-IT-0012;nd-IT-0014
24,33190,4440,3405,Unkown
25,37860,5129,4032,Unkown
26,42681,6072,4825,Unkown
27,46638,7024,5476,Unkown
28,50418,7432,6077,Unkown
29,54030,8326,6820,Unkown
30,57521,9362,7503,Unkown
31,62013,10361,8165,pd-IT-0007
32,66414,10950,9134,Unkown
33,70065,12384,10023,Unkown
34,73880,13030,10779,pd-IT-0009
35,75528,14620,11591,Unkown
36,77635,15729,12428,Unkown
37,80572,16847,13155,Unkown
38,83049,18278,13915,Unkown
39,85388,19758,14681,Unkown
40,88274,20996,15362,Unkown
41,91246,21815,15887,Unkown
42,93187,22837,16523,Unkown
43,94067,24392,17127,Unkown
44,95262,26491,17669,Unkown
45,96877,28470,18279,Unkown
46,98273,30455,18849,pd-IT-0011
47,100269,32534,19468,Unkown
48,102253,34211,19899,dc-IT-0003
49,103616,35435,20465,Unkown
50,104291,37130,21067,Unkown
51,105418,38092,21645,dc-IT-0005
52,106607,40164,22170,Unkown
53,106962,42727,22745,Unkown
54,107771,44927,23227,Unkown
55,108257,47055,23660,Unkown
56,108237,48877,24114,dc-IT-0007
57,107709,51600,24648,pd-IT-0013
58,107699,54543,25085,Unkown
59,106848,57576,25549,pd-IT-0015;pd-IT-0017
60,106527,60498,25969,dc-IT-0009;dc-IT-0011
61,105847,63120,26384,Unkown
62,106103,64928,26644,dc-IT-0013
63,105813,66624,26977,Unkown
64,105205,68941,27359,Unkown
65,104657,71252,27682,Unkown
66,101551,75945,27967,Unkown
67,100943,78249,28236,dc-IT-0015
68,100704,79914,28710,dc-IT-0017
69,100179,81654,28884,Unkown
70,99980,82879,29079,dc-IT-0019
71,98467,85231,29315,Unkown
72,91528,93245,29684,dc-IT-0021
73,89624,96276,29958,dc-IT-0023
74,87961,99023,30201,dc-IT-0025
75,84842,103031,30395,Unkown
76,83324,105186,30560,Unkown
77,82488,106587,30739,Unkown
78,81266,109039,30911,dc-IT-0027
79,78457,112541,31106,Unkown
80,76440,115288,31368,dc-IT-0029
81,72070,120205,31610,dc-IT-0031
82,70187,122810,31763,Unkown
83,68351,125176,31908,Unkown
84,66553,127326,32007,pd-IT-0019
85,65129,129401,32169,dc-IT-0033
86,62752,132282,32330,Unkown
87,60960,134560,32486,Unkown
88,59322,136720,32616,Unkown
89,57752,138840,32735,Unkown
90,56594,140479,32785,pd-IT-0021
91,55300,141981,32877,dc-IT-0035
92,52942,144658,32955,Unkown
93,50966,147101,33072,Unkown
94,47986,150604,33142,Unkown
95,46175,152844,33229,dc-IT-0037
96,43691,155633,33340,nd-IT-0016
97,42097,157507,33415,pd-IT-0023
98,41367,158355,33475,Unkown
99,39893,160092,33530,Unkown
100,39297,160938,33601,Unkown
101,38429,161895,33689,dc-IT-0039
102,36976,163781,33774,Unkown
103,35877,165078,33846,Unkown
104,35262,165837,33899,Unkown
105,34730,166584,33964,Unkown
106,32872,168646,34043,dc-IT-0041;dc-IT-0043
107,31710,169939,34114,Unkown
108,30637,171338,34167,Unkown
109,28997,173085,34223,dc-IT-0045;dc-IT-0047
110,27485,174865,34301,dc-IT-0049
111,26274,176370,34345,Unkown
112,25909,177010,34371,dc-IT-0051
113,24569,178526,34405,Unkown
114,23925,179455,34448,dc-IT-0053
115,23101,180544,34514,dc-IT-0055
116,21543,181907,34561,dc-IT-0057;dc-IT-0059
117,21212,182453,34610,dc-IT-0061;dc-IT-0063
118,20972,182893,34634,Unkown
119,20637,183426,34657,dc-IT-0065
120,19573,184585,34675,dc-IT-0067;dc-IT-0069
121,18655,186111,34644,dc-IT-0071
122,18303,186725,34678,Unkown
123,17638,187615,34708,Unkown
124,16836,188584,34716,Unkown
125,16681,188891,34738,Unkown
126,16496,189196,34744,Unkown
127,15563,190248,34767,Unkown
128,15255,190717,34788,Unkown
129,15060,191083,34818,Unkown
130,14884,191467,34833,Unkown
131,14621,191944,34854,Unkown
132,14642,192108,34861,Unkown
133,14709,192241,34869,Unkown
134,14242,192815,34899,Unkown
135,13595,193640,34914,Unkown
136,13459,193978,34926,Unkown
137,13428,194273,34938,Unkown
138,13303,194579,34945,Unkown
139,13179,194928,34954,Unkown
140,13157,195106,34967,Unkown
141,12919,195441,34984,Unkown
142,12493,196016,34997,Unkown
143,12473,196246,35017,Unkown
144,12456,196483,35028,Unkown
145,12368,196806,35042,Unkown
146,12440,196949,35045,Unkown
147,12404,197162,35058,Unkown
148,12248,197431,35073,Unkown
149,12322,197628,35082,Unkown
150,12404,197842,35092,Unkown
151,12301,198192,35097,Unkown
152,12442,198320,35102,Unkown
153,12565,198446,35107,Unkown
154,12581,198593,35112,Unkown
155,12609,198756,35123,Unkown
156,12616,199031,35129,Unkown
157,12230,199796,35132,Unkown
158,12422,199974,35141,Unkown
159,12457,200229,35146,Unkown
160,12456,200460,35154,Unkown
161,12474,200589,35166,Unkown
162,12482,200766,35171,Unkown
163,12646,200976,35181,Unkown
164,12694,201323,35187,Unkown
165,12924,201642,35190,Unkown
166,12953,201947,35203,Unkown
167,13263,202098,35205,Unkown
168,13368,202248,35209,Unkown
169,13561,202461,35215,Unkown
170,13791,202697,35225,Unkown
171,14081,202923,35231,Unkown
172,14249,203326,35234,Unkown
173,14406,203640,35392,Unkown
174,14733,203786,35396,Unkown
175,14867,203968,35400,Unkown
176,15089,204142,35405,Unkown
177,15360,204506,35412,Unkown
178,16014,204686,35418,Unkown
179,16678,204960,35427,Unkown
180,17503,205203,35430,Unkown
181,18438,205470,35437,Unkown
182,19195,205662,35441,Unkown
183,19714,206015,35445,Unkown
184,20753,206329,35458,Unkown
185,21932,206554,35463,Unkown
186,23035,206902,35472,Unkown
187,24156,207224,35473,Unkown
