Susceptible people;;;Exposed people;;;Recovered people;;;Infectious people;
X;Y;;X;Y;;X;Y;;X;Y
1;179996,5773;;1;2,344328801;;1;0,033648531;;1;1,044687124
2;179993,8628;;2;4,821808779;;2;0,071351348;;2;1,244035133
3;179990,4713;;3;7,796602324;;3;0,118457426;;3;1,61362552
4;179985,9515;;4;11,67377731;;4;0,181236228;;4;2,193449557
5;179979,7236;;5;16,95699199;;5;0,267743563;;5;3,051661879
6;179971,0032;;6;24,31564014;;6;0,388876478;;6;4,292257158
7;179958,7021;;7;34,67072977;;7;0,559759501;;7;6,067460148
8;179941,2914;;8;49,31069447;;8;0,801641178;;8;8,596257385
9;179916,6124;;9;70,05174089;;9;1,144540079;;9;12,19128968
10;179881,6091;;10;99,46255588;;10;1,630969969;;10;17,29737005
11;179831,9517;;11;141,180769;;11;2,321205147;;11;24,54631908
12;179761,5052;;12;200,3592525;;12;3,300734449;;12;34,83478494
13;179661,5796;;13;284,2951339;;13;4,690817799;;13;49,43445483
14;179519,8742;;14;403,3144894;;14;6,663432446;;14;70,14785316
15;179318,9972;;15;572,0122901;;15;9,462417826;;15;99,52811067
16;179034,3975;;16;810,9810757;;16;13,43335177;;16;141,1880916
17;178631,4986;;17;1149,20226;;17;19,06568392;;17;200,233488
18;178061,7656;;18;1627,316265;;18;27,05199339;;18;283,8661665
19;177257,3927;;19;2302,018439;;19;38,37100592;;19;402,2178467
20;176124,2928;;20;3251,81558;;20;54,40324784;;20;569,4883843
21;174533,1791;;21;4584,257259;;21;77,09087694;;21;805,4727812
22;172308,8876;;22;6444,400555;;22;109,1560125;;22;1137,555841
23;169218,9397;;23;9023,454816;;23;154,393966;;23;1603,211538
24;164964,0717;;24;12564,94456;;24;218,0573336;;24;2252,926368
25;159176,5266;;25;17362,92376;;25;307,3404402;;25;3153,209167
26;151436,5429;;26;23742,6295;;26;431,9551512;;26;4388,8724
27;141322,7521;;27;32009,48382;;27;604,7500833;;27;6063,014014
28;128514,1282;;28;42351,42613;;28;842,2573368;;28;8292,188361
29;112950,7147;;29;54690,70834;;29;1164,954538;;29;11193,62238
30;95025,49953;;30;68515,40826;;30;1596,932711;;30;14862,15949
31;75719,63981;;31;82777,26111;;31;2164,637128;;31;19338,46195
32;56545,43609;;32;95982,81096;;32;2894,512744;;32;24577,2402
33;39207,19376;;33;106551,7147;;33;3809,805138;;33;30431,28638
34;25072,16781;;34;113334,5422;;34;4927,309243;;34;36665,9807
35;14738,7912;;35;116001,2787;;35;6255,144502;;35;43004,78559
36;7967,908403;;36;115052,7337;;36;7792,323142;;36;49187,03472
37;3975,206261;;37;111482,6376;;37;9530,081742;;37;55012,07439
38;1840,654519;;38;106349,8912;;38;11454,22889;;38;60355,22534
39;796,4648275;;39;100496,8044;;39;13547,58538;;39;65159,14537
40;324,4237089;;40;94469,83093;;40;15791,90846;;40;69413,8369
41;125,2998161;;41;88568,68116;;41;18169,12977;;41;73136,88925
42;46,20350647;;42;82932,55689;;42;20662,02011;;42;76359,2195
43;16,37137015;;43;77612,51658;;43;23254,47888;;43;79116,63317
44;5,607500665;;44;72617,24417;;44;25931,6168;;44;81445,53153
45;1,866848004;;45;67937,38581;;45;28679,73932;;45;83381,00802
46;0,607138049;;46;63556,96909;;46;31486,28909;;46;84956,13469
47;0,19377741;;47;59458,25384;;47;34339,7745;;47;86201,77788
48;0,06095115;;48;55623,61587;;48;37229,69638;;48;87146,6268
49;0,018966596;;49;52036,2059;;49;40146,477;;49;87817,29813
50;0,00585926;;50;48680,13851;;50;43081,3931;;50;88238,46253
51;0,001802691;;51;45540,5123;;51;46026,51315;;51;88432,97274
52;0,000553959;;52;42603,37388;;52;48974,63885;;52;88421,98671
53;0,000170469;;53;39855,66565;;53;51919,25053;;53;88225,08365
54;5,26559E-05;;54;37285,17086;;54;54854,45642;;54;87860,37266
55;1,6361E-05;;55;34880,4603;;55;57774,94533;;55;87344,59436
56;5,12345E-06;;56;32630,84175;;56;60675,9426;;56;86693,21565
